country_name,iso3,region,national_gdp_2019,n_districts,welfare_s1_pct,welfare_pct,welfare_cv,stage2_converged,welfare_s3_pct,welfare_s3_cv,kappa,calibration_version,scale_calibration_status,median_pi_nn,trade_cost_scale,total_population,status,error
Congo DR,COD,Central Africa,46845900350,217.0,13.32460573213452,13.574787578126891,1.3617728769787215e-09,True,13.536681953908136,0.05972708750532668,2.0,v2-rrh-krugman-cse-row,exact,0.40024317255559255,619.4636402775362,108643326.80196288,success,
Congo Republic,COG,Central Africa,13976637779,45.0,6.348992601911951,6.662219817882287,1.2565691637098659e-09,True,6.56461647126001,0.048309557926260405,2.0,v2-rrh-krugman-cse-row,exact,0.4004905198857668,379.31239324085385,3895691.173828125,success,
Cote d Ivoire,CIV,West Africa,60382894697,32.0,5.771884061663446,5.7649551156163215,8.520469510157965e-08,True,5.816154610094659,0.024416535593087076,2.0,v2-rrh-krugman-cse-row,exact,0.4022622881453343,340.31720178871285,25813124.984375,success,
Djibouti,DJI,East Africa,3088851450,20.0,5.5146472846496986,5.579268547835237,4.9349237921253534e-08,True,5.622893485249736,0.06347495950264023,2.0,v2-rrh-krugman-cse-row,exact,0.40021030177830913,192.92177876274104,1116541.0285644531,success,
Equatorial Guinea,GNQ,Central Africa,11364133549,29.0,6.967972624314456,6.601576329342551,8.914903509302931e-10,True,6.916212998492455,0.04190709244264629,2.0,v2-rrh-krugman-cse-row,exact,0.40056487165652277,148.2139695325053,1277639.4073486328,success,
Eritrea,ERI,East Africa,0,44.0,,,,False,,,2.0,v2-rrh-krugman-cse-row,fallback_lo,,50.0,4089730.5791015625,success,
Ethiopia,ETH,East Africa,91834517112,76.0,11.576671414671512,11.23219476550621,4.312094854695298e-08,True,11.520539901043625,0.040438543989245436,2.0,v2-rrh-krugman-cse-row,exact,0.4001065937209003,482.67913875753396,101013341.5390625,success,
Gabon,GAB,Central Africa,16874405465,27.0,8.067944746379862,8.023434734359292,4.1363725024396244e-08,True,8.135039975312752,0.033313014482884755,2.0,v2-rrh-krugman-cse-row,exact,0.39999256740827704,707.6617880352004,2901462.4213867188,success,
Gambia,GMB,West Africa,1813609692,37.0,2.8021916398861535,2.779237477461338,1.650073818114195e-08,True,2.803562281843397,0.021618981560251445,2.0,v2-rrh-krugman-cse-row,exact,0.40195724479176487,67.39295032483099,2305919.7060546875,success,
Ghana,GHA,West Africa,68352629246,257.0,8.549853761582549,8.639590970234746,1.1385970137871239e-08,True,8.654179920703942,0.03266807101824319,2.0,v2-rrh-krugman-cse-row,exact,0.3996698617169274,85.70294348227436,31973963.42578125,success,
Guinea,GIN,West Africa,13442861496,30.0,8.75235687963678,8.887844192201456,7.91903738548731e-08,True,8.87626320889916,0.030034107443573002,2.0,v2-rrh-krugman-cse-row,exact,0.39985151916543893,482.84894433806477,12015038.8125,success,
Guinea-Bissau,GNB,West Africa,1596227316,34.0,7.973196746941769,8.189139132649338,5.758013013975381e-08,True,8.154729885517709,0.0339015521747345,2.0,v2-rrh-krugman-cse-row,exact,0.4001741363260407,173.81886841587908,1819360.890625,success,
Kenya,KEN,East Africa,100378436207,298.0,9.35384280051068,9.404618412092326,2.7838004306573434e-09,True,9.446617948924896,0.03413182785331163,2.0,v2-rrh-krugman-cse-row,exact,0.40132534367518713,76.04177228783064,53306317.223124996,success,
Lesotho,LSO,Southern Africa,2390702295,,,,,,,,,,,,,,missing,
Liberia,LBR,West Africa,3319596500,58.0,9.387890614679328,10.259746846715778,5.1504931100611683e-08,True,9.867893771476123,0.047905178651569465,2.0,v2-rrh-krugman-cse-row,exact,0.4006898296121443,272.4926366179143,4426714.638671875,success,
Madagascar,MDG,East Africa,14104664678,,,,,,,,,,,,,,missing,
Malawi,MWI,Southern Africa,11051852712,236.0,12.062698570673124,11.900225230116202,7.068946677678274e-10,True,12.10921651470047,0.03984201439071844,2.0,v2-rrh-krugman-cse-row,exact,0.40038165949588844,69.1603691538158,17880531.27256836,success,
Mali,MLI,West Africa,20477421884,43.0,7.708704603177363,7.824029118745779,4.4316244184480344e-08,True,7.821096675432937,0.029632146329460377,2.0,v2-rrh-krugman-cse-row,exact,0.3999305197802132,529.9247967666566,22178338.771484375,success,
Mauritius,MUS,East Africa,14645235204,,,,,,,,,,,,,,missing,
Mozambique,MOZ,Southern Africa,15512759046,126.0,9.471896762490895,9.825643041945087,1.779917137024994e-08,True,9.694362290321523,0.04504385150278427,2.0,v2-rrh-krugman-cse-row,exact,0.4014502079493758,336.08305313747076,29871442.0546875,success,
Namibia,NAM,Southern Africa,12541928303,103.0,7.045425715418974,7.302491748560214,6.975894424643291e-08,True,7.181307092197087,0.029293224047062152,2.0,v2-rrh-krugman-cse-row,exact,0.40018199029480533,275.0177624864219,2398406.0737304688,success,
Niger,NER,West Africa,12889555561,33.0,10.308685343110735,10.328084324291487,8.192880464699068e-08,True,10.360696031335825,0.02590666806019651,2.0,v2-rrh-krugman-cse-row,exact,0.3997599514007907,460.0040293260592,22966093.80078125,success,
Nigeria,NGA,West Africa,668219992691,755.0,7.180361824651382,7.15758383294367,7.556821648061023e-13,True,7.205821034937232,0.02290100115582675,2.0,v2-rrh-krugman-cse-row,exact,0.4006397417692881,76.99565121560703,209666769.27734375,success,
Rwanda,RWA,East Africa,10349300276,30.0,7.532328868635707,7.4063802856067396,5.52066240697098e-08,True,7.525062749403877,0.021768921929619742,2.0,v2-rrh-krugman-cse-row,exact,0.39963655773338785,121.79201143586009,13023404.09375,success,
Sao Tome and Principe,STP,Central Africa,412976082,,,,,,,,,,,,,,missing,
Senegal,SEN,West Africa,23403995992,42.0,4.234844477731325,4.286970253275069,5.941973324826332e-08,True,4.2825103337925885,0.025275778886834854,2.0,v2-rrh-krugman-cse-row,exact,0.39986059023392373,206.3585607756726,15910294.40234375,success,
Seychelles,SYC,East Africa,1868690096,,,,,,,,,,,,,,missing,
Sierra Leone,SLE,West Africa,6523577594,14.0,6.9275623683942245,7.068060335452864,4.0023449945852186e-08,True,7.023964057728338,0.028129158347183176,2.0,v2-rrh-krugman-cse-row,exact,0.4006522955554581,436.9916263731204,6692865.234375,success,
Somalia,SOM,East Africa,8656000000,73.0,16.69997979727771,16.902169901873986,7.659475569002074e-08,True,16.952883550991626,0.03944634191476834,2.0,v2-rrh-krugman-cse-row,exact,0.40021533225694167,494.73032503803137,10725825.537109375,success,
South Africa,ZAF,Southern Africa,389330032224,51.0,1.6060045456836036,1.6241611346941465,1.0707913252830558e-08,True,1.620233979120922,0.012022860173295376,2.0,v2-rrh-krugman-cse-row,exact,0.40058533765568816,330.82365024958136,58923044.3359375,success,
South Sudan,SSD,East Africa,0,37.0,,,,False,,,2.0,v2-rrh-krugman-cse-row,fallback_lo,,50.0,15493513.921875,success,
Sudan,SDN,East Africa,32338079165,79.0,11.169743850164227,11.096390856876104,7.399075999382777e-08,True,11.230208240070748,0.035583189904970704,2.0,v2-rrh-krugman-cse-row,exact,0.3998574424928456,436.13208569471465,41509483.4296875,success,
Eswatini,SWZ,Southern Africa,4617018958,55.0,9.26487070291242,9.384629806600087,5.404684090125416e-08,True,9.371523922144354,0.03117560374886256,2.0,v2-rrh-krugman-cse-row,exact,0.4002440054458572,68.92446396321381,1087759.1484375,success,
Tanzania,TZA,East Africa,61026731925,160.0,9.190699731077444,9.377285297866145,1.5428225279935276e-09,True,9.326157320162265,0.0337308504492173,2.0,v2-rrh-krugman-cse-row,exact,0.3998870736578063,258.4377296481929,54749799.46054687,success,
Togo,TGO,West Africa,6992654019,39.0,6.840198773616302,6.664203932421797,9.959692968298051e-08,True,6.859500942635521,0.03772598912013614,2.0,v2-rrh-krugman-cse-row,exact,0.3994571215534311,182.57252544000846,8293814.36328125,success,
Uganda,UGA,East Africa,35353061003,158.0,10.849156369071444,10.82812451571038,9.954119334209992e-08,True,10.906863258532296,0.0288689486828801,2.0,v2-rrh-krugman-cse-row,exact,0.39985165122164257,120.70328658177463,40804156.40960938,success,
Zambia,ZMB,Southern Africa,23308667781,111.0,7.372890412223754,7.5010355167846265,3.823624006407102e-10,True,7.4956433696548475,0.0337857996345003,2.0,v2-rrh-krugman-cse-row,exact,0.4003454968712269,314.50909162439865,17880845.974609375,success,
Zimbabwe,ZWE,Southern Africa,33357695635,90.0,5.553664953705595,5.5039869045049095,4.1565108709875155e-08,True,5.568337082001662,0.02349984607293146,2.0,v2-rrh-krugman-cse-row,exact,0.3985023791729233,162.17102396667036,14168066.806152344,success,
